CUSTOMER_ID,LOYALTY_SCORE,PRODUCT_ID,PRODUCT_CATEGORY,PURCHASE_COUNT
C71,8,P37,sweets,49
C71,8,P38,sweets,49
C72,5,P26,fruit_veg,39
C72,5,P33,fruit_veg,39
C72,5,P22,fruit_veg,39
C73,2,P58,food,96
C73,2,P45,food,96
C78,9,P51,food,99
C78,9,P58,food,99
C82,9,P65,bws,70
C82,9,P62,bws,70
C82,9,P66,bws,70
C84,1,P40,sweets,54
C85,8,P12,house,57
C90,3,P44,food,85
C90,3,P44,food,85
C95,7,P26,fruit_veg,37
C95,7,P25,fruit_veg,37
C99,9,P61,bws,77
C99,9,P62,bws,77
C100,8,P41,food,109
C103,7,P30,fruit_veg,36
C103,7,P31,fruit_veg,36
C103,7,P31,fruit_veg,36
C107,3,P32,fruit_veg,114
C107,3,P29,fruit_veg,114
C107,3,P25,fruit_veg,114
C112,3,P24,fruit_veg,108
C113,5,P64,bws,56
C113,5,P65,bws,56
C113,5,P63,bws,56
C117,10,P36,sweets,41
C117,10,P36,sweets,41
C123,3,P53,food,59
C123,3,P41,food,59
C123,3,P53,food,59
C125,1,P16,clothes,48
C125,1,P21,clothes,48
C133,3,P46,food,114
C133,3,P49,food,114
C133,3,P41,food,114
C12,8,P54,food,88
C12,8,P55,food,88
C19,6,P39,sweets,49
C25,9,P59,food,124
C25,9,P41,food,124
C25,9,P60,food,124
C26,1,P24,fruit_veg,37
C26,1,P28,fruit_veg,37
C26,1,P24,fruit_veg,37
C28,3,P02,house,94
C28,3,P05,house,94
C28,3,P02,house,94
C31,9,P29,fruit_veg,108
C39,2,P53,food,82
C43,10,P45,food,48
C43,10,P48,food,48
C49,7,P58,food,52
C49,7,P55,food,52
C49,7,P56,food,52
C52,1,P24,fruit_veg,85
C52,1,P31,fruit_veg,85
C53,4,P36,sweets,78
C60,10,P48,food,77
C60,10,P43,food,77
C60,10,P60,food,77
C65,2,P63,bws,100
C67,4,P44,food,61
C70,9,P07,house,42
C70,9,P02,house,42
C70,9,P04,house,42
C71,8,P62,bws,49
C71,8,P66,bws,49
C71,8,P61,bws,49
C75,8,P66,bws,52
C77,9,P63,bws,55
C77,9,P66,bws,55
C82,9,P63,bws,70
C89,8,P32,fruit_veg,96
C89,8,P32,fruit_veg,96
C89,8,P29,fruit_veg,96
C90,3,P24,fruit_veg,85
C100,8,P06,house,109
C100,8,P04,house,109
C100,8,P02,house,109
C105,8,P05,house,122
C112,3,P58,food,108
C117,10,P61,bws,41
C117,10,P61,bws,41
C122,10,P32,fruit_veg,125
C122,10,P26,fruit_veg,125
C122,10,P22,fruit_veg,125
C128,5,P46,food,84
C130,7,P22,fruit_veg,89
C131,4,P35,sweets,89
C131,4,P37,sweets,89
C133,3,P50,food,114
C12,8,P57,food,88
C14,3,P24,fruit_veg,42
C20,2,P30,fruit_veg,61
C20,2,P32,fruit_veg,61
C21,5,P30,fruit_veg,63
C24,6,P37,sweets,109
C25,9,P31,fruit_veg,124
C26,1,P15,clothes,37
C26,1,P20,clothes,37
C26,1,P15,clothes,37
C42,2,P33,fruit_veg,36
C42,2,P28,fruit_veg,36
C42,2,P28,fruit_veg,36
C48,4,P60,food,51
C48,4,P45,food,51
C59,6,P03,house,29
C59,6,P08,house,29
C65,2,P38,sweets,100
C65,2,P38,sweets,100
C65,2,P35,sweets,100
C72,5,P34,fruit_veg,39
C72,5,P34,fruit_veg,39
C78,9,P54,food,99
C81,7,P43,food,42
C88,1,P07,house,114
C88,1,P02,house,114
C88,1,P05,house,114
C103,7,P66,bws,36
C103,7,P63,bws,36
C103,7,P61,bws,36
C107,3,P22,fruit_veg,114
C112,3,P32,fruit_veg,108
C112,3,P33,fruit_veg,108
C123,3,P57,food,59
C123,3,P45,food,59
C123,3,P46,food,59
C128,5,P43,food,84
C128,5,P47,food,84
C136,10,P38,sweets,50
C136,10,P38,sweets,50
C136,10,P35,sweets,50
C137,9,P52,food,116
C137,9,P49,food,116
C137,9,P54,food,116
C2,4,P08,house,78
C14,3,P26,fruit_veg,42
C15,6,P26,fruit_veg,77
C15,6,P23,fruit_veg,77
C29,7,P25,fruit_veg,82
C29,7,P27,fruit_veg,82
C29,7,P32,fruit_veg,82
C40,4,P60,food,45
C40,4,P60,food,45
C40,4,P41,food,45
C41,9,P48,food,63
C41,9,P52,food,63
C41,9,P46,food,63
C46,5,P36,sweets,59
C47,2,P35,sweets,76
C47,2,P40,sweets,76
C47,2,P35,sweets,76
C49,7,P52,food,52
C53,4,P34,fruit_veg,78
C53,4,P23,fruit_veg,78
C53,4,P29,fruit_veg,78
C54,2,P47,food,111
C54,2,P57,food,111
C55,8,P38,sweets,78
C56,4,P62,bws,49
C61,4,P40,sweets,37
C61,4,P37,sweets,37
C70,9,P26,fruit_veg,42
C70,9,P33,fruit_veg,42
C70,9,P28,fruit_veg,42
C72,5,P27,fruit_veg,39
C72,5,P28,fruit_veg,39
C72,5,P30,fruit_veg,39
C78,9,P42,food,99
C78,9,P54,food,99
C87,3,P34,fruit_veg,78
C87,3,P30,fruit_veg,78
C87,3,P26,fruit_veg,78
C89,8,P33,fruit_veg,96
C89,8,P31,fruit_veg,96
C89,8,P27,fruit_veg,96
C91,3,P41,food,53
C91,3,P58,food,53
C91,3,P44,food,53
C97,9,P35,sweets,110
C97,9,P38,sweets,110
C97,9,P40,sweets,110
C101,2,P32,fruit_veg,63
C101,2,P27,fruit_veg,63
C101,2,P33,fruit_veg,63
C105,8,P09,house,122
C105,8,P09,house,122
C105,8,P10,house,122
C110,3,P40,sweets,34
C110,3,P37,sweets,34
C110,3,P36,sweets,34
C117,10,P40,sweets,41
C117,10,P40,sweets,41
C120,9,P04,house,52
C120,9,P08,house,52
C122,10,P46,food,125
C122,10,P41,food,125
C122,10,P42,food,125
C128,5,P46,food,84
C132,7,P31,fruit_veg,41
C132,7,P34,fruit_veg,41
C132,7,P25,fruit_veg,41
C135,2,P47,food,91
C8,7,P60,food,113
C21,5,P23,fruit_veg,63
C25,9,P26,fruit_veg,124
C25,9,P24,fruit_veg,124
C25,9,P25,fruit_veg,124
C34,3,P33,fruit_veg,66
C34,3,P33,fruit_veg,66
C46,5,P65,bws,59
C49,7,P42,food,52
C49,7,P51,food,52
C49,7,P44,food,52
C51,3,P51,food,79
C51,3,P48,food,79
C51,3,P43,food,79
C55,8,P37,sweets,78
C55,8,P40,sweets,78
C55,8,P36,sweets,78
C60,10,P41,food,77
C60,10,P46,food,77
C60,10,P48,food,77
C66,10,P25,fruit_veg,96
C66,10,P26,fruit_veg,96
C71,8,P62,bws,49
C71,8,P64,bws,49
C73,2,P49,food,96
C73,2,P54,food,96
C73,2,P47,food,96
C75,8,P38,sweets,52
C75,8,P35,sweets,52
C75,8,P39,sweets,52
C77,9,P64,bws,55
C77,9,P64,bws,55
C77,9,P62,bws,55
C100,8,P47,food,109
C101,2,P51,food,63
C105,8,P04,house,122
C108,8,P38,sweets,81
C112,3,P54,food,108
C112,3,P46,food,108
C112,3,P58,food,108
C116,5,P33,fruit_veg,27
C118,7,P51,food,54
C118,7,P46,food,54
C128,5,P49,food,84
C128,5,P42,food,84
C128,5,P48,food,84
C132,7,P30,fruit_veg,41
C132,7,P34,fruit_veg,41
C136,10,P40,sweets,50
C8,7,P35,sweets,113
C8,7,P37,sweets,113
C12,8,P59,food,88
C12,8,P42,food,88
C12,8,P59,food,88
C15,6,P36,sweets,77
C15,6,P36,sweets,77
C20,2,P27,fruit_veg,61
C22,1,P22,fruit_veg,82
C27,10,P35,sweets,95
C27,10,P35,sweets,95
C27,10,P37,sweets,95
C29,7,P22,fruit_veg,82
C29,7,P26,fruit_veg,82
C43,10,P39,sweets,48
C43,10,P40,sweets,48
C43,10,P37,sweets,48
C44,9,P63,bws,59
C44,9,P63,bws,59
C44,9,P64,bws,59
C54,2,P10,house,111
C54,2,P11,house,111
C54,2,P07,house,111
C66,10,P35,sweets,96
C66,10,P37,sweets,96
C66,10,P39,sweets,96
C71,8,P37,sweets,49
C71,8,P36,sweets,49
C71,8,P38,sweets,49
C74,5,P32,fruit_veg,111
C74,5,P23,fruit_veg,111
C74,5,P29,fruit_veg,111
C87,3,P32,fruit_veg,78
C89,8,P25,fruit_veg,96
C89,8,P29,fruit_veg,96
C89,8,P27,fruit_veg,96
C90,3,P17,clothes,85
C90,3,P17,clothes,85
C93,5,P23,fruit_veg,70
C93,5,P22,fruit_veg,70
C94,10,P28,fruit_veg,33
C94,10,P31,fruit_veg,33
C95,7,P04,house,37
C95,7,P07,house,37
C96,10,P57,food,50
C96,10,P48,food,50
C98,7,P33,fruit_veg,83
C98,7,P32,fruit_veg,83
C101,2,P32,fruit_veg,63
C101,2,P31,fruit_veg,63
C101,2,P23,fruit_veg,63
C103,7,P16,clothes,36
C108,8,P38,sweets,81
C118,7,P55,food,54
C128,5,P55,food,84
C128,5,P43,food,84
C130,7,P32,fruit_veg,89
C130,7,P34,fruit_veg,89
C3,8,P02,house,48
C3,8,P08,house,48
C3,8,P07,house,48
C22,1,P37,sweets,82
C23,10,P01,house,50
C23,10,P10,house,50
C25,9,P33,fruit_veg,124
C25,9,P26,fruit_veg,124
C28,3,P02,house,94
C28,3,P02,house,94
C28,3,P04,house,94
C29,7,P23,fruit_veg,82
C29,7,P33,fruit_veg,82
C33,5,P06,house,39
C35,7,P14,clothes,46
C35,7,P14,clothes,46
C35,7,P17,clothes,46
C37,9,P49,food,80
C37,9,P47,food,80
C37,9,P51,food,80
C40,4,P40,sweets,45
C40,4,P38,sweets,45
C40,4,P39,sweets,45
C42,2,P40,sweets,36
C42,2,P40,sweets,36
C47,2,P39,sweets,76
C54,2,P40,sweets,111
C58,6,P35,sweets,85
C58,6,P40,sweets,85
C58,6,P39,sweets,85
C81,7,P01,house,42
C81,7,P03,house,42
C89,8,P23,fruit_veg,96
C96,10,P34,fruit_veg,50
C96,10,P34,fruit_veg,50
C96,10,P26,fruit_veg,50
C107,3,P65,bws,114
C107,3,P64,bws,114
C109,6,P66,bws,43
C109,6,P62,bws,43
C111,1,P39,sweets,54
C111,1,P39,sweets,54
C114,3,P45,food,21
C119,7,P35,sweets,94
C119,7,P35,sweets,94
C119,7,P37,sweets,94
C120,9,P33,fruit_veg,52
C120,9,P24,fruit_veg,52
C126,4,P05,house,35
C126,4,P06,house,35
C127,4,P32,fruit_veg,106
C127,4,P23,fruit_veg,106
C127,4,P28,fruit_veg,106
C130,7,P65,bws,89
C130,7,P66,bws,89
C131,4,P13,clothes,89
C132,7,P31,fruit_veg,41
C132,7,P31,fruit_veg,41
C18,8,P08,house,35
C18,8,P03,house,35
C18,8,P02,house,35
C20,2,P30,fruit_veg,61
C20,2,P24,fruit_veg,61
C20,2,P26,fruit_veg,61
C28,3,P60,food,94
C28,3,P42,food,94
C29,7,P28,fruit_veg,82
C32,3,P34,fruit_veg,37
C46,5,P61,bws,59
C48,4,P36,sweets,51
C48,4,P35,sweets,51
C56,4,P65,bws,49
C60,10,P48,food,77
C73,2,P48,food,96
C74,5,P26,fruit_veg,111
C75,8,P61,bws,52
C75,8,P63,bws,52
C75,8,P63,bws,52
C77,9,P41,food,55
C79,1,P22,fruit_veg,60
C79,1,P28,fruit_veg,60
C79,1,P24,fruit_veg,60
C86,8,P64,bws,80
C86,8,P65,bws,80
C89,8,P32,fruit_veg,96
C101,2,P45,food,63
C101,2,P56,food,63
C101,2,P56,food,63
C102,1,P25,fruit_veg,41
C103,7,P63,bws,36
C119,7,P62,bws,94
C119,7,P61,bws,94
C119,7,P61,bws,94
C126,4,P02,house,35
C6,10,P59,food,31
C6,10,P47,food,31
C8,7,P57,food,113
C8,7,P54,food,113
C10,5,P01,house,103
C10,5,P10,house,103
C10,5,P02,house,103
C11,4,P11,house,110
C11,4,P12,house,110
C13,8,P05,house,30
C13,8,P03,house,30
C13,8,P03,house,30
C14,3,P29,fruit_veg,42
C18,8,P09,house,35
C18,8,P05,house,35
C19,6,P51,food,49
C20,2,P24,fruit_veg,61
C20,2,P30,fruit_veg,61
C20,2,P22,fruit_veg,61
C21,5,P47,food,63
C21,5,P42,food,63
C21,5,P47,food,63
C23,10,P02,house,50
C25,9,P57,food,124
C25,9,P58,food,124
C28,3,P22,fruit_veg,94
C29,7,P24,fruit_veg,82
C37,9,P45,food,80
C37,9,P44,food,80
C37,9,P51,food,80
C42,2,P24,fruit_veg,36
C42,2,P32,fruit_veg,36
C42,2,P29,fruit_veg,36
C43,10,P43,food,48
C43,10,P54,food,48
C49,7,P23,fruit_veg,52
C49,7,P24,fruit_veg,52
C49,7,P34,fruit_veg,52
C53,4,P39,sweets,78
C53,4,P38,sweets,78
C57,2,P35,sweets,67
C57,2,P40,sweets,67
C67,4,P29,fruit_veg,61
C67,4,P23,fruit_veg,61
C67,4,P25,fruit_veg,61
C69,7,P25,fruit_veg,50
C69,7,P24,fruit_veg,50
C69,7,P22,fruit_veg,50
C80,9,P09,house,73
C81,7,P01,house,42
C81,7,P03,house,42
C81,7,P05,house,42
C84,1,P37,sweets,54
C84,1,P40,sweets,54
C84,1,P39,sweets,54
C88,1,P03,house,114
C88,1,P01,house,114
C89,8,P58,food,96
C106,5,P34,fruit_veg,36
C106,5,P29,fruit_veg,36
C106,5,P28,fruit_veg,36
C107,3,P23,fruit_veg,114
C108,8,P56,food,81
C108,8,P42,food,81
C108,8,P50,food,81
C109,6,P66,bws,43
C110,3,P36,sweets,34
C112,3,P32,fruit_veg,108
C112,3,P29,fruit_veg,108
C113,5,P32,fruit_veg,56
C113,5,P29,fruit_veg,56
C117,10,P37,sweets,41
C117,10,P37,sweets,41
C131,4,P30,fruit_veg,89
C131,4,P26,fruit_veg,89
C131,4,P27,fruit_veg,89
C6,10,P50,food,31
C12,8,P58,food,88
C16,5,P31,fruit_veg,110
C16,5,P28,fruit_veg,110
C16,5,P29,fruit_veg,110
C17,2,P24,fruit_veg,115
C17,2,P23,fruit_veg,115
C18,8,P07,house,35
C18,8,P04,house,35
C18,8,P11,house,35
C22,1,P55,food,82
C22,1,P54,food,82
C27,10,P40,sweets,95
C27,10,P35,sweets,95
C27,10,P35,sweets,95
C42,2,P23,fruit_veg,36
C42,2,P33,fruit_veg,36
C43,10,P40,sweets,48
C48,4,P36,sweets,51
C48,4,P39,sweets,51
C48,4,P38,sweets,51
C54,2,P38,sweets,111
C54,2,P37,sweets,111
C66,10,P35,sweets,96
C66,10,P36,sweets,96
C66,10,P35,sweets,96
C67,4,P24,fruit_veg,61
C67,4,P24,fruit_veg,61
C67,4,P26,fruit_veg,61
C71,8,P06,house,49
C71,8,P06,house,49
C71,8,P03,house,49
C72,5,P32,fruit_veg,39
C72,5,P22,fruit_veg,39
C75,8,P07,house,52
C75,8,P06,house,52
C75,8,P07,house,52
C81,7,P12,house,42
C84,1,P40,sweets,54
C88,1,P56,food,114
C90,3,P15,clothes,85
C93,5,P28,fruit_veg,70
C94,10,P26,fruit_veg,33
C94,10,P26,fruit_veg,33
C106,5,P58,food,36
C106,5,P53,food,36
C108,8,P15,clothes,81
C110,3,P39,sweets,34
C110,3,P38,sweets,34
C110,3,P37,sweets,34
C113,5,P27,fruit_veg,56
C118,7,P42,food,54
C123,3,P29,fruit_veg,59
C123,3,P31,fruit_veg,59
C128,5,P54,food,84
C128,5,P43,food,84
C134,6,P34,fruit_veg,62
C13,8,P52,food,30
C13,8,P48,food,30
C13,8,P60,food,30
C19,6,P37,sweets,49
C19,6,P35,sweets,49
C19,6,P39,sweets,49
C24,6,P11,house,109
C24,6,P08,house,109
C24,6,P07,house,109
C27,10,P37,sweets,95
C35,7,P55,food,46
C37,9,P58,food,80
C37,9,P42,food,80
C39,2,P64,bws,82
C39,2,P64,bws,82
C40,4,P43,food,45
C44,9,P12,house,59
C44,9,P02,house,59
C51,3,P40,sweets,79
C51,3,P38,sweets,79
C59,6,P66,bws,29
C59,6,P62,bws,29
C66,10,P50,food,96
C68,8,P05,house,32
C80,9,P03,house,73
C80,9,P04,house,73
C81,7,P59,food,42
C81,7,P44,food,42
C99,9,P64,bws,77
C99,9,P66,bws,77
C100,8,P36,sweets,109
C103,7,P20,clothes,36
C103,7,P13,clothes,36
C103,7,P15,clothes,36
C105,8,P07,house,122
C105,8,P10,house,122
C105,8,P07,house,122
C117,10,P55,food,41
C117,10,P51,food,41
C120,9,P04,house,52
C124,7,P64,bws,40
C130,7,P47,food,89
C130,7,P57,food,89
C133,3,P55,food,114
C133,3,P48,food,114
C133,3,P54,food,114
C134,6,P62,bws,62
C134,6,P62,bws,62
C136,10,P35,sweets,50
C136,10,P39,sweets,50
C136,10,P35,sweets,50
C137,9,P49,food,116
C10,5,P11,house,103
C17,2,P36,sweets,115
C17,2,P35,sweets,115
C17,2,P40,sweets,115
C21,5,P53,food,63
C34,3,P22,fruit_veg,66
C34,3,P27,fruit_veg,66
C34,3,P28,fruit_veg,66
C40,4,P36,sweets,45
C40,4,P39,sweets,45
C40,4,P37,sweets,45
C43,10,P49,food,48
C43,10,P47,food,48
C43,10,P56,food,48
C44,9,P65,bws,59
C44,9,P63,bws,59
C61,4,P36,sweets,37
C64,10,P27,fruit_veg,34
C64,10,P29,fruit_veg,34
C65,2,P36,sweets,100
C65,2,P39,sweets,100
C65,2,P38,sweets,100
C67,4,P51,food,61
C67,4,P49,food,61
C68,8,P65,bws,32
C71,8,P04,house,49
C71,8,P04,house,49
C75,8,P03,house,52
C75,8,P06,house,52
C77,9,P62,bws,55
C77,9,P63,bws,55
C77,9,P61,bws,55
C78,9,P55,food,99
C78,9,P59,food,99
C90,3,P49,food,85
C90,3,P51,food,85
C94,10,P33,fruit_veg,33
C99,9,P62,bws,77
C99,9,P63,bws,77
C100,8,P38,sweets,109
C100,8,P36,sweets,109
C100,8,P36,sweets,109
C105,8,P06,house,122
C105,8,P01,house,122
C105,8,P07,house,122
C107,3,P62,bws,114
C107,3,P62,bws,114
C118,7,P52,food,54
C118,7,P44,food,54
C123,3,P65,bws,59
C127,4,P23,fruit_veg,106
C127,4,P27,fruit_veg,106
C129,7,P60,food,44
C136,10,P36,sweets,50
C137,9,P55,food,116
C137,9,P56,food,116
C137,9,P43,food,116
C17,2,P49,food,115
C17,2,P50,food,115
C17,2,P46,food,115
C19,6,P22,fruit_veg,49
C19,6,P34,fruit_veg,49
C19,6,P32,fruit_veg,49
C24,6,P02,house,109
C30,4,P14,clothes,41
C34,3,P28,fruit_veg,66
C39,2,P43,food,82
C42,2,P33,fruit_veg,36
C42,2,P30,fruit_veg,36
C42,2,P25,fruit_veg,36
C46,5,P32,fruit_veg,59
C46,5,P31,fruit_veg,59
C50,8,P23,fruit_veg,43
C50,8,P31,fruit_veg,43
C50,8,P28,fruit_veg,43
C51,3,P54,food,79
C51,3,P42,food,79
C51,3,P60,food,79
C53,4,P36,sweets,78
C53,4,P40,sweets,78
C62,6,P29,fruit_veg,102
C62,6,P34,fruit_veg,102
C62,6,P23,fruit_veg,102
C63,2,P38,sweets,52
C63,2,P35,sweets,52
C64,10,P32,fruit_veg,34
C64,10,P24,fruit_veg,34
C64,10,P25,fruit_veg,34
C67,4,P59,food,61
C71,8,P38,sweets,49
C71,8,P35,sweets,49
C71,8,P35,sweets,49
C73,2,P56,food,96
C73,2,P57,food,96
C73,2,P51,food,96
C83,8,P63,bws,117
C83,8,P66,bws,117
C89,8,P22,fruit_veg,96
C89,8,P28,fruit_veg,96
C89,8,P33,fruit_veg,96
C91,3,P60,food,53
C91,3,P58,food,53
C101,2,P33,fruit_veg,63
C103,7,P13,clothes,36
C107,3,P22,fruit_veg,114
C132,7,P23,fruit_veg,41
C133,3,P56,food,114
C135,2,P43,food,91
C135,2,P41,food,91
C4,5,P02,house,38
C27,10,P40,sweets,95
C49,7,P52,food,52
C49,7,P42,food,52
C49,7,P44,food,52
C54,2,P11,house,111
C54,2,P10,house,111
C54,2,P08,house,111
C57,2,P40,sweets,67
C57,2,P36,sweets,67
C57,2,P39,sweets,67
C77,9,P10,house,55
C80,9,P64,bws,73
C85,8,P22,fruit_veg,57
C95,7,P23,fruit_veg,37
C95,7,P23,fruit_veg,37
C95,7,P27,fruit_veg,37
C97,9,P38,sweets,110
C97,9,P38,sweets,110
C105,8,P04,house,122
C105,8,P12,house,122
C113,5,P31,fruit_veg,56
C126,4,P43,food,35
C129,7,P53,food,44
C129,7,P43,food,44
C129,7,P60,food,44
C130,7,P61,bws,89
C130,7,P66,bws,89
C1,7,P30,fruit_veg,39
C1,7,P27,fruit_veg,39
C3,8,P39,sweets,48
C11,4,P04,house,110
C11,4,P10,house,110
C11,4,P11,house,110
C21,5,P34,fruit_veg,63
C21,5,P33,fruit_veg,63
C23,10,P09,house,50
C24,6,P07,house,109
C26,1,P37,sweets,37
C26,1,P39,sweets,37
C26,1,P39,sweets,37
C31,9,P63,bws,108
C45,10,P04,house,80
C45,10,P04,house,80
C49,7,P45,food,52
C53,4,P40,sweets,78
C53,4,P37,sweets,78
C53,4,P37,sweets,78
C61,4,P38,sweets,37
C61,4,P38,sweets,37
C61,4,P38,sweets,37
C66,10,P48,food,96
C66,10,P54,food,96
C73,2,P56,food,96
C73,2,P57,food,96
C73,2,P50,food,96
C76,10,P39,sweets,62
C76,10,P40,sweets,62
C79,1,P24,fruit_veg,60
C84,1,P36,sweets,54
C84,1,P36,sweets,54
C84,1,P37,sweets,54
C92,1,P28,fruit_veg,44
C92,1,P32,fruit_veg,44
C92,1,P24,fruit_veg,44
C100,8,P38,sweets,109
C100,8,P39,sweets,109
C101,2,P29,fruit_veg,63
C105,8,P08,house,122
C105,8,P12,house,122
C106,5,P59,food,36
C106,5,P50,food,36
C106,5,P60,food,36
C107,3,P22,fruit_veg,114
C107,3,P24,fruit_veg,114
C107,3,P25,fruit_veg,114
C123,3,P26,fruit_veg,59
C123,3,P24,fruit_veg,59
C125,1,P40,sweets,48
C128,5,P43,food,84
C128,5,P54,food,84
C132,7,P31,fruit_veg,41
C133,3,P51,food,114
C133,3,P44,food,114
C8,7,P57,food,113
C8,7,P59,food,113
C8,7,P59,food,113
C17,2,P38,sweets,115
C17,2,P36,sweets,115
C17,2,P39,sweets,115
C21,5,P45,food,63
C21,5,P52,food,63
C24,6,P10,house,109
C24,6,P09,house,109
C24,6,P09,house,109
C28,3,P22,fruit_veg,94
C28,3,P25,fruit_veg,94
C35,7,P46,food,46
C35,7,P46,food,46
C35,7,P48,food,46
C36,5,P24,fruit_veg,108
C36,5,P26,fruit_veg,108
C36,5,P22,fruit_veg,108
